bay_id,st_marker_id,status,location,lat,lon
5567,12067W,Present,"(-37.811895372716634, 144.98317922713915)",-37.811895372716634,144.98317922713915
3150,5335W,Present,"(-37.810692667298795, 144.9557997447494)",-37.810692667298795,144.9557997447494
8136,15172N,Unoccupied,"(-37.8165908070996, 144.9807573316126)",-37.8165908070996,144.9807573316126
815,C516,Unoccupied,"(-37.81051489159786, 144.9698502055112)",-37.81051489159786,144.9698502055112
6475,13810N,Unoccupied,"(-37.81425262160266, 144.93876275375987)",-37.81425262160266,144.93876275375987
7959,15006E,Unoccupied,"(-37.817110406551436, 144.9820634536137)",-37.817110406551436,144.9820634536137
5798,12524N,Present,"(-37.81529246777221, 144.97622333117704)",-37.81529246777221,144.97622333117704
6312,13381W,Present,"(-37.82039783690817, 144.95034614816555)",-37.82039783690817,144.95034614816555
2587,C3164,Unoccupied,"(-37.81392917560319, 144.9565720959472)",-37.81392917560319,144.9565720959472
5828,12543S,Unoccupied,"(-37.815956514905565, 144.98055145778306)",-37.815956514905565,144.98055145778306
583,16E,Unoccupied,"(-37.81458368292173, 144.9746548650308)",-37.81458368292173,144.9746548650308
5829,12545S,Unoccupied,"(-37.81596396837868, 144.98061896478418)",-37.81596396837868,144.98061896478418
5797,12522N,Unoccupied,"(-37.81528513069375, 144.97615592231017)",-37.81528513069375,144.97615592231017
6373,13604E,Present,"(-37.8203624747225, 144.94402627126837)",-37.8203624747225,144.94402627126837
5038,9515S,Present,"(-37.82844186281385, 144.9663140537631)",-37.82844186281385,144.9663140537631
4715,8663W,Present,"(-37.82544047893279, 144.9626300390963)",-37.82544047893279,144.9626300390963
8151,15195S,Unoccupied,"(-37.816749289206946, 144.98114263809254)",-37.816749289206946,144.98114263809254
1152,C1246,Present,"(-37.812154520306905, 144.9593977582353)",-37.812154520306905,144.9593977582353
6305,13367W,Unoccupied,"(-37.819569347421655, 144.94969301151178)",-37.819569347421655,144.94969301151178
5374,11722E,Present,"(-37.809973917782145, 144.97297311104433)",-37.809973917782145,144.97297311104433
945,C786,Present,"(-37.81161963958506, 144.96755496945224)",-37.81161963958506,144.96755496945224
1878,2614N,Unoccupied,"(-37.815008870215586, 144.95659472478343)",-37.815008870215586,144.95659472478343
6350,13277S,Unoccupied,"(-37.82140637003466, 144.9504786682375)",-37.82140637003466,144.9504786682375
5487,11897W,Unoccupied,"(-37.810264131645354, 144.9781294721275)",-37.810264131645354,144.9781294721275
8152,15197S,Unoccupied,"(-37.81674508862993, 144.9811153053907)",-37.81674508862993,144.9811153053907
8120,15140N,Unoccupied,"(-37.81670857046224, 144.98184848492505)",-37.81670857046224,144.98184848492505
5729,12412N,Unoccupied,"(-37.81084937975889, 144.9775293328501)",-37.81084937975889,144.9775293328501
844,C632,Unoccupied,"(-37.80856819471104, 144.96895717475147)",-37.80856819471104,144.96895717475147
6048,13018N,Unoccupied,"(-37.8210640226779, 144.94694855385976)",-37.8210640226779,144.94694855385976
8133,15166N,Unoccupied,"(-37.81661337143654, 144.9809619187024)",-37.81661337143654,144.9809619187024
712,486E,Unoccupied,"(-37.81071164159791, 144.97006527270574)",-37.81071164159791,144.97006527270574
6581,13858N,Unoccupied,"(-37.81245600838406, 144.9408281056877)",-37.81245600838406,144.9408281056877
5378,11730E,Present,"(-37.80971788428776, 144.97300959313867)",-37.80971788428776,144.97300959313867
577,126E,Unoccupied,"(-37.808331599820974, 144.97177073994987)",-37.808331599820974,144.97177073994987
2649,10124E,Present,"(-37.80313925576209, 144.94821838550098)",-37.80313925576209,144.94821838550098
974,896E,Unoccupied,"(-37.817555414910274, 144.96477899134823)",-37.817555414910274,144.96477899134823
955,C824,Unoccupied,"(-37.81123421045719, 144.96737901042525)",-37.81123421045719,144.96737901042525
6328,13474E,Present,"(-37.8187948047274, 144.94988619155254)",-37.8187948047274,144.94988619155254
5803,12534N,Unoccupied,"(-37.81573906594603, 144.98027397146186)",-37.81573906594603,144.98027397146186
5807,12542N,Unoccupied,"(-37.81576864943921, 144.98054338231634)",-37.81576864943921,144.98054338231634
5485,11893W,Unoccupied,"(-37.81039625399951, 144.97810771307672)",-37.81039625399951,144.97810771307672
6016,13031S,Present,"(-37.82055523352014, 144.94932170223393)",-37.82055523352014,144.94932170223393
2367,3103S,Unoccupied,"(-37.81363587840012, 144.95793913482046)",-37.81363587840012,144.95793913482046
2409,C2640,Unoccupied,"(-37.809551386152236, 144.97158519953229)",-37.809551386152236,144.97158519953229
2571,C3132,Unoccupied,"(-37.813551896914205, 144.95791062003298)",-37.813551896914205,144.95791062003298
5902,C9044,Present,"(-37.80289673434031, 144.96725077727274)",-37.80289673434031,144.96725077727274
5808,12544N,Unoccupied,"(-37.81577595581845, 144.9806108826033)",-37.81577595581845,144.9806108826033
1541,1910N,Present,"(-37.81446480983439, 144.969777886918)",-37.81446480983439,144.969777886918
6011,13021S,Present,"(-37.820019971813835, 144.9511744817139)",-37.820019971813835,144.9511744817139
7960,15008E,Unoccupied,"(-37.817165260047446, 144.98205389895895)",-37.817165260047446,144.98205389895895
6431,13689W,Unoccupied,"(-37.82032834866027, 144.9460464281878)",-37.82032834866027,144.9460464281878
734,622E,Unoccupied,"(-37.80847977202194, 144.96903968966444)",-37.80847977202194,144.96903968966444
2565,C3120,Present,"(-37.81349988040017, 144.95808871510755)",-37.81349988040017,144.95808871510755
6005,13009S,Present,"(-37.81991148319636, 144.95154801430996)",-37.81991148319636,144.95154801430996
5794,12516N,Unoccupied,"(-37.81526312623545, 144.97595376259363)",-37.81526312623545,144.97595376259363
604,53W,Present,"(-37.81098466579381, 144.9727663586012)",-37.81098466579381,144.9727663586012
1161,C1266,Unoccupied,"(-37.81167740384007, 144.95918176525274)",-37.81167740384007,144.95918176525274
2585,C3160,Present,"(-37.81391238968523, 144.95663058095323)",-37.81391238968523,144.95663058095323
5100,9898N,Present,"(-37.82550552491288, 144.96878711896767)",-37.82550552491288,144.96878711896767
6525,13725W,Present,"(-37.812244848898665, 144.93609682366346)",-37.812244848898665,144.93609682366346
5108,9908N,Present,"(-37.825545675761454, 144.968649670123)",-37.825545675761454,144.968649670123
6298,13275S,Unoccupied,"(-37.8195258954837, 144.94939911353805)",-37.8195258954837,144.94939911353805
2736,4390E,Unoccupied,"(-37.80862271939476, 144.96068371817805)",-37.80862271939476,144.96068371817805
5600,12219S,Unoccupied,"(-37.80944752218417, 144.97392781937896)",-37.80944752218417,144.97392781937896
812,C504,Unoccupied,"(-37.81062405953755, 144.96990039713614)",-37.81062405953755,144.96990039713614
5343,8297W,Unoccupied,"(-37.826140268190514, 144.96784252248335)",-37.826140268190514,144.96784252248335
5098,9896N,Unoccupied,"(-37.82549741847507, 144.96881503904098)",-37.82549741847507,144.96881503904098
5099,9897S,Unoccupied,"(-37.825646827394195, 144.96867196304143)",-37.825646827394195,144.96867196304143
5005,9437S,Present,"(-37.83019364257427, 144.9661433781602)",-37.83019364257427,144.9661433781602
3161,5353W,Present,"(-37.810139380103976, 144.95554654399626)",-37.810139380103976,144.95554654399626
1057,994E,Unoccupied,"(-37.818463348680865, 144.96241564996032)",-37.818463348680865,144.96241564996032
5028,9500N,Unoccupied,"(-37.82844959256275, 144.96680804737142)",-37.82844959256275,144.96680804737142
6051,13024N,Present,"(-37.82111334454023, 144.94677773089683)",-37.82111334454023,144.94677773089683
5827,12541S,Unoccupied,"(-37.8159490514862, 144.98048478273245)",-37.8159490514862,144.98048478273245
4974,9403S,Unoccupied,"(-37.82989051614691, 144.96719278161615)",-37.82989051614691,144.96719278161615
4993,9425S,Unoccupied,"(-37.83013252065509, 144.96635897480462)",-37.83013252065509,144.96635897480462
6824,14008E,Unoccupied,"(-37.7985292254026, 144.95791370508152)",-37.7985292254026,144.95791370508152
6302,13361W,Unoccupied,"(-37.81908992478574, 144.94931493665388)",-37.81908992478574,144.94931493665388
978,904E,Unoccupied,"(-37.817346777027836, 144.96468343889782)",-37.817346777027836,144.96468343889782
2006,3435S,Present,"(-37.81080726932605, 144.96356786363793)",-37.81080726932605,144.96356786363793
5383,11703W,Present,"(-37.810152198209394, 144.97271136912758)",-37.810152198209394,144.97271136912758
3147,5329W,Present,"(-37.81084570995648, 144.9558703069698)",-37.81084570995648,144.9558703069698
